传输轮数,发送站点序号,接收站点序号,发送信息所属站点序号,接收站点消息队列
1,1,2,1,"['Message from 1 at time 0', 'Message from 3 at time 0', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 3 at time 6', 'Message from 1 at time 1']"
1,1,3,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 2 at time 3']"
1,1,4,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
1,1,5,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
1,2,1,2,"['Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 2 at time 6', 'Message from 3 at time 6']"
1,2,3,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 2 at time 3']"
1,2,4,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
1,2,5,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
1,3,1,3,"['Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 2 at time 6', 'Message from 3 at time 6']"
1,3,2,3,"['Message from 1 at time 0', 'Message from 3 at time 0', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 3 at time 6', 'Message from 1 at time 1']"
1,3,4,3,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
1,3,5,3,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
2,1,2,1,"['Message from 1 at time 0', 'Message from 3 at time 0', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 3 at time 6', 'Message from 1 at time 1']"
2,1,3,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 2 at time 3']"
2,1,4,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
2,1,5,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
2,2,1,2,"['Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 2 at time 6', 'Message from 3 at time 6']"
2,2,3,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 2 at time 3']"
2,2,4,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
2,2,5,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
2,3,1,3,"['Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 2 at time 6', 'Message from 3 at time 6']"
2,3,2,3,"['Message from 1 at time 0', 'Message from 3 at time 0', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 3 at time 6', 'Message from 1 at time 1']"
2,3,4,3,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
2,3,5,3,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
3,1,2,1,"['Message from 1 at time 0', 'Message from 3 at time 0', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 3 at time 6', 'Message from 1 at time 1']"
3,1,3,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 2 at time 3']"
3,1,4,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
3,1,5,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
3,2,1,2,"['Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 2 at time 6', 'Message from 3 at time 6']"
3,2,3,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 2 at time 3']"
3,2,4,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
3,2,5,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
3,3,1,3,"['Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 2 at time 6', 'Message from 3 at time 6']"
3,3,2,3,"['Message from 1 at time 0', 'Message from 3 at time 0', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 3 at time 6', 'Message from 1 at time 1']"
3,3,4,3,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
3,3,5,3,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
4,1,2,1,"['Message from 1 at time 0', 'Message from 3 at time 0', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 3 at time 6', 'Message from 1 at time 1']"
4,1,3,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 2 at time 3']"
4,1,4,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 2 at time 1', 'Message from 3 at time 2']"
4,1,5,1,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 1 at time 3', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 3 at time 6', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5']"
4,2,1,2,"['Message from 2 at time 0', 'Message from 3 at time 0', 'Message from 2 at time 1', 'Message from 3 at time 1', 'Message from 2 at time 2', 'Message from 3 at time 2', 'Message from 2 at time 3', 'Message from 3 at time 3', 'Message from 2 at time 4', 'Message from 3 at time 4', 'Message from 2 at time 5', 'Message from 3 at time 5', 'Message from 2 at time 6', 'Message from 3 at time 6']"
4,2,3,2,"['Message from 1 at time 0', 'Message from 2 at time 0', 'Message from 1 at time 1', 'Message from 2 at time 1', 'Message from 1 at time 2', 'Message from 2 at time 2', 'Message from 1 at time 3', 'Message from 1 at time 4', 'Message from 2 at time 4', 'Message from 1 at time 5', 'Message from 2 at time 5', 'Message from 1 at time 6', 'Message from 2 at time 6', 'Message from 2 at time 3']"
